Ingredient,Description,Category,Substitutes
achacha,Achacha fruit is orange and has a sweet tart lemony taste. The fruit is oval and one to two inches in diameter. The achacha tree is native to the Amazon basin.,Other Exotic Tropical Fruit,"[{'Substitute': '1 pound mangosteen', 'Equivalent': '= 1 pound achacha', 'Note': '', 'Nutritional value': {'Carbs': '', 'Calories': '', 'Salt': '', 'Fat': '', 'Cholesterol': '', 'Vitamin C': '', 'Calcium': '', 'Protein': '', 'Sugars': '', 'Fiber': '', 'Mono Fats': '', 'Poly Fats': '', 'Saturated Fats': ''}}, {'Substitute': '1 pound mango', 'Equivalent': '= 1 pound achacha', 'Note': '', 'Nutritional value': {'Carbs': '15 g', 'Calories': '60 Cals.', 'Salt': '1 mg', 'Fat': '0.4 g', 'Cholesterol': '0 mg', 'Vitamin C': '36.4 mg', 'Calcium': '11 mg', 'Protein': '0.8 g', 'Sugars': '13.7 g', 'Fiber': '1.6 g', 'Mono Fats': '0.1 g', 'Poly Fats': '0.1 g', 'Saturated Fats': '0.1 g'}}]"
acidophilis milk,Friendly bacteria is reintroduced into this milk after pasteurization.,Cultured Milk Products,"[{'Substitute': '1 cup almond milk', 'Equivalent': '= 1 cup acidophilis milk', 'Note': '', 'Nutritional value': {'Carbs': '0.6 g', 'Calories': '15 Cals.', 'Salt': '71 mg', 'Fat': '1.1 g', 'Cholesterol': '0 mg', 'Vitamin C': '0 mg', 'Calcium': '197 mg', 'Protein': '0.6 g', 'Sugars': '0 g', 'Fiber': '0 g', 'Mono Fats': '0.7 g', 'Poly Fats': '0.2 g', 'Saturated Fats': '0 g'}}, {'Substitute': '1 cup milk 3.5%', 'Equivalent': '= 1 cup acidophilis milk', 'Note': '', 'Nutritional value': {'Carbs': '4.8 g', 'Calories': '61 Cals.', 'Salt': '43 mg', 'Fat': '3.3 g', 'Cholesterol': '10 mg', 'Vitamin C': '0 mg', 'Calcium': '113 mg', 'Protein': '3.2 g', 'Sugars': '5.1 g', 'Fiber': '0 g', 'Mono Fats': '0.8 g', 'Poly Fats': '0.2 g', 'Saturated Fats': '1.9 g'}}]"
acidulated water,"This is water that's been mixed with a small amount of lemon juice or vinegar to make it slightly acidic. If you put freshly sliced fruits or vegetables in acidulated water, they won't darken.",Vinegars,"[{'Substitute': '4 cups water + 2 tablespoons lemon juice or vinegar', 'Equivalent': '= 4 cups acidulated water', 'Note': '', 'Nutritional value': {'Carbs': '0.2 g', 'Calories': '0.7 Cals.', 'Salt': '3.9 mg', 'Fat': '0 g', 'Cholesterol': '', 'Vitamin C': '', 'Calcium': '', 'Protein': '', 'Sugars': '', 'Fiber': '', 'Mono Fats': '', 'Poly Fats': '', 'Saturated Fats': ''}}]"
acini di pepe,"Acini di pepe (""peppercorns"") are a type of Italian soup pasta. They're very tiny, and usually served in broths. They're a classic ingredient in Italian wedding soup.",Soup Pasta,"[{'Substitute': '1 pound seme di melone', 'Equivalent': '= 1 pound acini di pepe', 'Note': '', 'Nutritional value': {'Carbs': '', 'Calories': '', 'Salt': '', 'Fat': '', 'Cholesterol': '', 'Vitamin C': '', 'Calcium': '', 'Protein': '', 'Sugars': '', 'Fiber': '', 'Mono Fats': '', 'Poly Fats': '', 'Saturated Fats': ''}}, {'Substitute': '1 pound orzo', 'Equivalent': '= 1 pound acini di pepe', 'Note': '', 'Nutritional value': {'Carbs': '', 'Calories': '', 'Salt': '', 'Fat': '', 'Cholesterol': '', 'Vitamin C': '', 'Calcium': '', 'Protein': '', 'Sugars': '', 'Fiber': '', 'Mono Fats': '', 'Poly Fats': '', 'Saturated Fats': ''}}, {'Substitute': '1 pound soup pasta', 'Equivalent': '= 1 pound acini di pepe', 'Note': '', 'Nutritional value': {'Carbs': '74.7 g', 'Calories': '371 Cals.', 'Salt': '6 mg', 'Fat': '1.5 g', 'Cholesterol': '0 mg', 'Vitamin C': '0 mg', 'Calcium': '21 mg', 'Protein': '13 g', 'Sugars': '2.7 g', 'Fiber': '3.2 g', 'Mono Fats': '0.2 g', 'Poly Fats': '0.6 g', 'Saturated Fats': '0.3 g'}}]"
ackee,"The pulp of this fruit looks and tastes like scrambled eggs when cooked, and Jamaicans like to serve it with salt cod.   Look for cans of it in Caribbean markets.  
Warning:  Only the yellow pulp on ripe ackees is edible.  Eating underripe ackees that haven't opened on their own, or eating the pink portion of ripe ackees, can cause vomiting and death.",Other Exotic Tropical Fruit,"[{'Substitute': '1 pound avocado', 'Equivalent': '= 1 pound ackee', 'Note': '', 'Nutritional value': {'Carbs': '8.5 g', 'Calories': '160 Cals.', 'Salt': '7 mg', 'Fat': '14.7 g', 'Cholesterol': '0 mg', 'Vitamin C': '10 mg', 'Calcium': '12 mg', 'Protein': '2 g', 'Sugars': '0.7 g', 'Fiber': '6.7 g', 'Mono Fats': '9.8 g', 'Poly Fats': '1.8 g', 'Saturated Fats': '2.1 g'}}, {'Substitute': '1 pound chickpea', 'Equivalent': '= 1 pound ackee', 'Note': '', 'Nutritional value': {'Carbs': '62.9 g', 'Calories': '378 Cals.', 'Salt': '24 mg', 'Fat': '6 g', 'Cholesterol': '0 mg', 'Vitamin C': '4 mg', 'Calcium': '57 mg', 'Protein': '20.5 g', 'Sugars': '10.7 g', 'Fiber': '12.2 g', 'Mono Fats': '1.4 g', 'Poly Fats': '2.7 g', 'Saturated Fats': '0.6 g'}}, {'Substitute': '1 pound almond', 'Equivalent': '= 1 pound ackee', 'Note': '', 'Nutritional value': {'Carbs': '21.6 g', 'Calories': '579 Cals.', 'Salt': '1 mg', 'Fat': '49.9 g', 'Cholesterol': '0 mg', 'Vitamin C': '0 mg', 'Calcium': '269 mg', 'Protein': '21.2 g', 'Sugars': '4.4 g', 'Fiber': '12.5 g', 'Mono Fats': '31.6 g', 'Poly Fats': '12.3 g', 'Saturated Fats': '3.8 g'}}]"
acorn,"These nuts come from oak trees, and they were once an important food for Native Americans.   Before they can be eaten, most acorns need to be treated to remove the bitter tannins in them.   To do this, boil whole shelled acorns in water, replacing the water with fresh boiling water whenever it turns light brown. Keep doing this for about two hours, until the water no longer changes color.   Alternatively, you can soak the shelled acorns in several changes of water for three or four days.  Some Native Americans do this by putting whole or pounded acorns into nylon stockings and hanging them so that they're immersed in the water of a toilet tank (repeat:  tank, not bowl).  Each time the toilet is flushed, the water in the tank is refreshed.  This may discolor the toilet, however.  After the nuts have been leached of tannins, roast them in a 350° oven for about an hour.  They can then be eaten whole or ground into acorn meal and used to make porridges or breads.  Acorns from white oaks aren't nearly as bitter as those from red or black oaks, and can be roasted without first soaking them.",Nuts,"[{'Substitute': '1 pound hazelnut', 'Equivalent': '= 1 pound acorn', 'Note': ""These are like acorns, only they're low in tannin."", 'Nutritional value': {'Carbs': '16.7 g', 'Calories': '628 Cals.', 'Salt': '0 mg', 'Fat': '60.7 g', 'Cholesterol': '0 mg', 'Vitamin C': '6.3 mg', 'Calcium': '114 mg', 'Protein': '15 g', 'Sugars': '4.3 g', 'Fiber': '9.7 g', 'Mono Fats': '45.7 g', 'Poly Fats': '7.9 g', 'Saturated Fats': '4.5 g'}}, {'Substitute': '1 pound chestnut', 'Equivalent': '= 1 pound acorn', 'Note': '', 'Nutritional value': {'Carbs': '53 g', 'Calories': '245 Cals.', 'Salt': '2 mg', 'Fat': '2.2 g', 'Cholesterol': '0 mg', 'Vitamin C': '26 mg', 'Calcium': '29 mg', 'Protein': '3.2 g', 'Sugars': '10.6 g', 'Fiber': '5.1 g', 'Mono Fats': '0.8 g', 'Poly Fats': '0.9 g', 'Saturated Fats': '0.4 g'}}]"
acorn squash,"This orange-fleshed winter squash is popular because of its small size--it can be cut in half and baked to make two generous servings. The rind, unfortunately, is quite hard and difficult to cut. To avoid injuring yourself, first slice off both the top and the bottom with a sharp knife, and use the stem end as a base for the more treacherous halving cut. Select acorn squash with as much green on the rind as possible, though most will have a single orange spot on one side.",Winter Squash,"[{'Substitute': '1 pound buttercup squash', 'Equivalent': '= 1 pound acorn squash', 'Note': 'drier', 'Nutritional value': {'Carbs': '8.6 g', 'Calories': '34 Cals.', 'Salt': '4 mg', 'Fat': '0.1 g', 'Cholesterol': '0 mg', 'Vitamin C': '12.3 mg', 'Calcium': '28 mg', 'Protein': '1 g', 'Sugars': '2.2 g', 'Fiber': '1.5 g', 'Mono Fats': '0 g', 'Poly Fats': '0.1 g', 'Saturated Fats': '0 g'}}, {'Substitute': '1 pound butternut squash', 'Equivalent': '= 1 pound acorn squash', 'Note': 'nuttier flavor; easier to peel when raw', 'Nutritional value': {'Carbs': '11.8 g', 'Calories': '47 Cals.', 'Salt': '0 mg', 'Fat': '0 g', 'Cholesterol': '0 mg', 'Vitamin C': '21.2 mg', 'Calcium': '47 mg', 'Protein': '0 g', 'Sugars': '2.4 g', 'Fiber': '2.4 g', 'Mono Fats': '0 g', 'Poly Fats': '0 g', 'Saturated Fats': '0 g'}}, {'Substitute': '1 pound banana squash', 'Equivalent': '= 1 pound acorn squash', 'Note': 'much larger', 'Nutritional value': {'Carbs': '8.6 g', 'Calories': '34 Cals.', 'Salt': '4 mg', 'Fat': '0.1 g', 'Cholesterol': '0 mg', 'Vitamin C': '12.3 mg', 'Calcium': '28 mg', 'Protein': '1 g', 'Sugars': '2.2 g', 'Fiber': '1.5 g', 'Mono Fats': '0 g', 'Poly Fats': '0.1 g', 'Saturated Fats': '0 g'}}, {'Substitute': '1 pound turban squash', 'Equivalent': '= 1 pound acorn squash', 'Note': 'sweeter', 'Nutritional value': {'Carbs': '8.6 g', 'Calories': '34 Cals.', 'Salt': '4 mg', 'Fat': '0.1 g', 'Cholesterol': '0 mg', 'Vitamin C': '12.3 mg', 'Calcium': '28 mg', 'Protein': '1 g', 'Sugars': '2.2 g', 'Fiber': '1.5 g', 'Mono Fats': '0 g', 'Poly Fats': '0.1 g', 'Saturated Fats': '0 g'}}, {'Substitute': '1 pound Hubbard squash', 'Equivalent': '= 1 pound acorn squash', 'Note': 'much larger', 'Nutritional value': {'Carbs': '8.7 g', 'Calories': '40 Cals.', 'Salt': '7 mg', 'Fat': '0.5 g', 'Cholesterol': '0 mg', 'Vitamin C': '11 mg', 'Calcium': '14 mg', 'Protein': '2 g', 'Sugars': '4 g', 'Fiber': '3.9 g', 'Mono Fats': '0 g', 'Poly Fats': '0.2 g', 'Saturated Fats': '0.1 g'}}, {'Substitute': '1 pound pumpkin', 'Equivalent': '= 1 pound acorn squash', 'Note': 'much larger', 'Nutritional value': {'Carbs': '6.5 g', 'Calories': '26 Cals.', 'Salt': '1 mg', 'Fat': '0.1 g', 'Cholesterol': '0 mg', 'Vitamin C': '9 mg', 'Calcium': '21 mg', 'Protein': '1 g', 'Sugars': '2.8 g', 'Fiber': '0.5 g', 'Mono Fats': '0 g', 'Poly Fats': '0 g', 'Saturated Fats': '0.1 g'}}, {'Substitute': '1 pound green papaya', 'Equivalent': '= 1 pound acorn squash', 'Note': '', 'Nutritional value': {'Carbs': '10.8 g', 'Calories': '43 Cals.', 'Salt': '8 mg', 'Fat': '0.3 g', 'Cholesterol': '0 mg', 'Vitamin C': '60.9 mg', 'Calcium': '20 mg', 'Protein': '0.5 g', 'Sugars': '7.8 g', 'Fiber': '1.7 g', 'Mono Fats': '0.1 g', 'Poly Fats': '0.1 g', 'Saturated Fats': '0.1 g'}}, {'Substitute': '1 pound golden nugget squash', 'Equivalent': '= 1 pound acorn squash', 'Note': 'hard to cut open; consider baking first', 'Nutritional value': {'Carbs': '3.4 g', 'Calories': '16 Cals.', 'Salt': '2 mg', 'Fat': '0.2 g', 'Cholesterol': '0 mg', 'Vitamin C': '17 mg', 'Calcium': '15 mg', 'Protein': '1.2 g', 'Sugars': '2.2 g', 'Fiber': '1.1 g', 'Mono Fats': '0 g', 'Poly Fats': '0.1 g', 'Saturated Fats': '0 g'}}]"
acorn starch,Look for this in Korean markets.,Nut Flours & Meals,[]
active dry yeast,"This is the yeast called for by most bread recipes.  It's largely displaced the fresh yeast our grandparents used since it has a longer shelf life and is more tolerant of mishandling.   To activate it, sprinkle it on water that's 105° - 115° F and wait for it to begin foaming (about five minutes).  Look for it in the dairy case--it's usually sold in strips of three packages or in 4-ounce jars.  Always check the expiration date to make sure it's fresh.  Dry yeast can be stored at room temperature until the expiration date--or within 4 months of opening--but it lasts even longer in the refrigerator or freezer.  Always bring yeast to room temperature before you use it.   It's important to keep stored yeast away from air and moisture, so use the smallest container you can find and seal it well.",Yeast,"[{'Substitute': '0.4 teaspoons fresh yeast', 'Equivalent': '= 1 teaspoon active dry yeast', 'Note': 'fresh yeast (Substitute one cake for each package or 2 1/4 teaspoons of active dry yeast.)', 'Nutritional value': {'Carbs': '41.2 g', 'Calories': '325 Cals.', 'Salt': '51 mg', 'Fat': '7.6 g', 'Cholesterol': '0 mg', 'Vitamin C': '0.3 mg', 'Calcium': '30 mg', 'Protein': '40.4 g', 'Sugars': '0 g', 'Fiber': '26.9 g', 'Mono Fats': '4.3 g', 'Poly Fats': '0 g', 'Saturated Fats': '1 g'}}, {'Substitute': '1 teaspoon instant yeast', 'Equivalent': '= 1 teaspoon active dry yeast', 'Note': ""instant yeast (Substitute measure for measure, but don't dissolve it in liquid first.  Your bread will only need to rise once.)"", 'Nutritional value': {'Carbs': '', 'Calories': '', 'Salt': '', 'Fat': '', 'Cholesterol': '', 'Vitamin C': '', 'Calcium': '', 'Protein': '', 'Sugars': '', 'Fiber': '', 'Mono Fats': '', 'Poly Fats': '', 'Saturated Fats': ''}}, {'Substitute': '1 teaspoon bread machine yeast', 'Equivalent': '= 1 teaspoon active dry yeast', 'Note': ""bread machine yeast (Substitute measure for measure, but don't dissolve it in liquid first.  Your bread will only need to rise once.)"", 'Nutritional value': {'Carbs': '41.2 g', 'Calories': '325 Cals.', 'Salt': '51 mg', 'Fat': '7.6 g', 'Cholesterol': '0 mg', 'Vitamin C': '0.3 mg', 'Calcium': '30 mg', 'Protein': '40.4 g', 'Sugars': '0 g', 'Fiber': '26.9 g', 'Mono Fats': '4.3 g', 'Poly Fats': '0 g', 'Saturated Fats': '1 g'}}]"
adobo sauce,,Hispanic condiments,"[{'Substitute': '1 teaspoon Tabasco sauce', 'Equivalent': '= 1 ounce adobo sauce', 'Note': '', 'Nutritional value': {'Carbs': '0.8 g', 'Calories': '12 Cals.', 'Salt': '633 mg', 'Fat': '0.8 g', 'Cholesterol': '0 mg', 'Vitamin C': '4.5 mg', 'Calcium': '12 mg', 'Protein': '1.3 g', 'Sugars': '0.1 g', 'Fiber': '0.6 g', 'Mono Fats': '0.1 g', 'Poly Fats': '0.4 g', 'Saturated Fats': '0.1 g'}}]"
